Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-01-01,RELIANCE,EQ,891.15,886.3,892.0,883.65,888.0,887.9,887.62,677439,60130585235000.0,16263,286377,0.4227
2015-01-02,RELIANCE,EQ,887.9,888.1,896.05,884.3,884.95,885.55,889.39,1675827,149046112025000.0,31269,1048543,0.6257
2015-01-05,RELIANCE,EQ,885.55,885.0,890.9,874.1,875.55,875.85,881.88,2309591,203678122275000.0,67035,1393132,0.6032000000000001
2015-01-06,RELIANCE,EQ,875.85,870.0,873.0,832.0,832.5,836.1,847.6,4258043,360913301650000.0,120767,2353273,0.5527000000000001
2015-01-07,RELIANCE,EQ,836.1,837.1,858.8,837.0,858.0,854.3,849.81,4736315,402497209585000.0,125939,2885468,0.6092000000000001
2015-01-08,RELIANCE,EQ,854.3,860.1,862.9,840.15,843.0,842.05,845.7,4542457,384157419675000.0,77800,2663830,0.5864
2015-01-09,RELIANCE,EQ,842.05,848.4,862.0,845.0,861.5,860.3,852.15,3061366,260874082690000.0,56795,1697823,0.5546
2015-01-12,RELIANCE,EQ,860.3,860.5,861.0,841.6,852.5,850.3,847.51,2308716,195666198225000.0,59103,1263612,0.5473
2015-01-13,RELIANCE,EQ,850.3,853.0,854.95,840.5,845.0,843.15,844.77,2274108,192110677910000.0,50755,1310196,0.5761000000000001
2015-01-14,RELIANCE,EQ,843.15,843.0,847.0,831.2,837.0,834.95,836.09,2601286,217491251680000.03,80257,1468754,0.5646
2015-01-15,RELIANCE,EQ,834.95,840.0,871.1,840.0,863.0,864.25,857.07,3869247,331620414775000.0,78705,2364008,0.611
2015-01-16,RELIANCE,EQ,864.25,860.0,875.0,852.05,867.5,869.7,867.39,4374388,379430743685000.0,100057,2654750,0.6069
2015-01-19,RELIANCE,EQ,869.7,870.2,886.0,858.75,879.75,879.65,877.24,3049291,267497225340000.0,75661,965555,0.3166
2015-01-20,RELIANCE,EQ,879.65,881.5,905.55,878.85,902.55,903.05,894.34,3054173,273147030119999.97,66755,1481484,0.4851
2015-01-21,RELIANCE,EQ,903.05,905.0,911.4,892.05,907.05,906.75,903.73,3905183,352923845200000.0,84816,1996975,0.5114
2015-01-22,RELIANCE,EQ,906.75,905.15,907.2,879.5,884.2,883.75,888.39,5422365,481715623860000.06,117060,3881123,0.7158
2015-01-23,RELIANCE,EQ,883.75,890.0,897.8,877.0,886.85,886.9,887.29,4132897,366706518230000.0,96749,2451611,0.5932000000000001
2015-01-27,RELIANCE,EQ,886.9,892.9,896.7,880.5,887.25,889.05,888.34,4100754,364284856355000.0,139067,2715836,0.6623
2015-01-28,RELIANCE,EQ,889.05,886.1,909.8,886.1,906.55,906.85,898.0,4411227,396128211470000.0,80550,2626389,0.5954
2015-01-29,RELIANCE,EQ,906.85,907.1,934.5,906.9,927.95,929.4,926.4,8255888,764823060435000.0,171319,5054578,0.6122
2015-01-30,RELIANCE,EQ,929.4,930.0,931.25,909.0,916.35,915.25,918.15,4970953,456405570845000.0,84169,2810831,0.5655
2015-02-02,RELIANCE,EQ,915.25,916.05,919.9,905.7,908.2,908.05,912.65,4412275,402687118530000.0,50967,2196576,0.4978
2015-02-03,RELIANCE,EQ,908.05,913.2,940.85,913.2,936.3,937.6,930.35,3907020,363489645445000.0,93747,1799461,0.4606
2015-02-04,RELIANCE,EQ,937.6,939.1,943.8,925.9,926.7,928.8,936.76,3216827,301338832945000.0,59577,1633822,0.5079
